Pokemon,Type,Height,Weight,Abilities,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Simplified Type,image_path
Brionne,['Water'],0.6,17.5,"['Torrent, Liquid Voice (hidden ability)']",60,230,324,69,128,260,69,128,260,91,168,309,81,150,287,50,94,218,Water,/content/Pokemon Images DB/Pokemon Images DB/Brionne/Brionne.png
Bronzong,"['Steel', 'Psychic']",1.3,187.0,"['Levitate', 'Heatproof, Heavy Metal (hidden ability)']",67,244,338,89,164,304,116,213,364,79,146,282,116,213,364,33,63,181,Steel,/content/Pokemon Images DB/Pokemon Images DB/Bronzong/Bronzong.png
Bronzor,"['Steel', 'Psychic']",0.5,60.5,"['Levitate', 'Heatproof, Heavy Metal (hidden ability)']",57,224,318,24,47,161,86,159,298,24,47,161,86,159,298,23,45,159,Steel,/content/Pokemon Images DB/Pokemon Images DB/Bronzor/Bronzor.png
Brute Bonnet,"['Grass', 'Dark']",1.2,21.0,['Protosynthesis'],111,332,426,127,233,388,99,182,326,79,146,282,99,182,326,55,103,229,Grass,/content/Pokemon Images DB/Pokemon Images DB/Brute Bonnet/Brute Bonnet.png
Bruxish,"['Water', 'Psychic']",0.9,19.0,"['Dazzling', 'Strong Jaw, Wonder Skin (hidden ability)']",68,246,340,105,193,339,70,130,262,70,130,262,70,130,262,92,170,311,Water,/content/Pokemon Images DB/Pokemon Images DB/Bruxish/Bruxish.png
Budew,"['Grass', 'Poison']",0.2,1.2,"['Natural Cure', 'Poison Point, Leaf Guard (hidden ability)']",40,190,284,30,58,174,35,67,185,50,94,218,70,130,262,55,103,229,Grass,/content/Pokemon Images DB/Pokemon Images DB/Budew/Budew.png
Buizel,['Water'],0.7,29.5,"['Swift Swim, Water Veil (hidden ability)']",55,220,314,65,121,251,35,67,185,60,112,240,30,58,174,85,157,295,Water,/content/Pokemon Images DB/Pokemon Images DB/Buizel/Buizel.png
Bulbasaur,"['Grass', 'Poison']",0.7,6.9,"['Overgrow, Chlorophyll (hidden ability)']",45,200,294,49,92,216,49,92,216,65,121,251,65,121,251,45,85,207,Grass,/content/Pokemon Images DB/Pokemon Images DB/Bulbasaur/Bulbasaur.png
Buneary,['Normal'],0.4,5.5,"['Run Away', 'Klutz, Limber (hidden ability)']",55,220,314,66,123,254,44,83,205,44,83,205,56,105,232,85,157,295,Normal,/content/Pokemon Images DB/Pokemon Images DB/Buneary/Buneary.png
Bunnelby,['Normal'],0.4,5.0,"['Pickup', 'Cheek Pouch, Huge Power (hidden ability)']",38,186,280,36,69,188,38,72,192,32,62,179,36,69,188,57,107,234,Normal,/content/Pokemon Images DB/Pokemon Images DB/Bunnelby/Bunnelby.png
Burmy Plant Cloak,['Bug'],0.2,3.4,"['Shed Skin, Overcoat (hidden ability)']",40,190,284,29,56,172,45,85,207,29,56,172,45,85,207,36,69,188,Bug,/content/Pokemon Images DB/Pokemon Images DB/Burmy (Plant Cloak)/Burmy (Plant Cloak).png
Burmy Sandy Cloak,['Bug'],0.2,3.4,"['Shed Skin, Overcoat (hidden ability)']",40,190,284,29,56,172,45,85,207,29,56,172,45,85,207,36,69,188,Bug,/content/Pokemon Images DB/Pokemon Images DB/Burmy (Sandy Cloak)/Burmy (Sandy Cloak).png
Burmy Trash Cloak,['Bug'],0.2,3.4,"['Shed Skin, Overcoat (hidden ability)']",40,190,284,29,56,172,45,85,207,29,56,172,45,85,207,36,69,188,Bug,/content/Pokemon Images DB/Pokemon Images DB/Burmy (Trash Cloak)/Burmy (Trash Cloak).png
Butterfree,"['Bug', 'Flying']",1.1,32.0,"['Compound Eyes, Tinted Lens (hidden ability)']",60,230,324,45,85,207,50,94,218,90,166,306,80,148,284,70,130,262,Bug,/content/Pokemon Images DB/Pokemon Images DB/Butterfree/Butterfree.png
Buzzwole,"['Bug', 'Fighting']",2.4,333.6,['Beast Boost'],107,324,418,139,254,414,139,254,414,53,99,225,53,99,225,79,146,282,Bug,/content/Pokemon Images DB/Pokemon Images DB/Buzzwole/Buzzwole.png
Cacnea,['Grass'],0.4,51.3,"['Sand Veil, Water Absorb (hidden ability)']",50,210,304,85,157,295,40,76,196,85,157,295,40,76,196,35,67,185,Grass,/content/Pokemon Images DB/Pokemon Images DB/Cacnea/Cacnea.png
Cacturne,"['Grass', 'Dark']",1.3,77.4,"['Sand Veil, Water Absorb (hidden ability)']",70,250,344,115,211,361,60,112,240,115,211,361,60,112,240,55,103,229,Grass,/content/Pokemon Images DB/Pokemon Images DB/Cacturne/Cacturne.png
Calyrex,"['Psychic', 'Grass']",1.1,7.7,['Unnerve'],100,310,404,80,148,284,80,148,284,80,148,284,80,148,284,80,148,284,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Calyrex/Calyrex.png
Calyrex Ice Rider,"['Psychic', 'Ice']",2.4,809.1,['As One'],100,310,404,165,301,471,150,274,438,85,157,295,130,238,394,50,94,218,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Calyrex (Ice Rider)/Calyrex (Ice Rider).png
Calyrex Shadow Rider,"['Psychic', 'Ghost']",2.4,53.6,['As One'],100,310,404,85,157,295,80,148,284,165,301,471,100,184,328,150,274,438,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Calyrex (Shadow Rider)/Calyrex (Shadow Rider).png
Camerupt,"['Fire', 'Ground']",1.9,220.0,"['Magma Armor', 'Solid Rock, Anger Point (hidden ability)']",70,250,344,100,184,328,70,130,262,105,193,339,75,139,273,40,76,196,Fire,/content/Pokemon Images DB/Pokemon Images DB/Camerupt/Camerupt.png
Mega Camerupt,"['Fire', 'Ground']",2.5,320.5,['Sheer Force'],70,250,344,120,220,372,100,184,328,145,265,427,105,193,339,20,40,152,Fire,/content/Pokemon Images DB/Pokemon Images DB/Mega Camerupt/Mega Camerupt.png
Capsakid,['Grass'],0.3,3.0,"['Chlorophyll', 'Insomnia, Klutz (hidden ability)']",50,210,304,62,116,245,40,76,196,62,116,245,40,76,196,50,94,218,Grass,/content/Pokemon Images DB/Pokemon Images DB/Capsakid/Capsakid.png
Carbink,"['Rock', 'Fairy']",0.3,5.7,"['Clear Body, Sturdy (hidden ability)']",50,210,304,50,94,218,150,274,438,50,94,218,150,274,438,50,94,218,Rock,/content/Pokemon Images DB/Pokemon Images DB/Carbink/Carbink.png
Carkol,"['Rock', 'Fire']",1.1,78.0,"['Steam Engine', 'Flame Body, Flash Fire (hidden ability)']",80,270,364,60,112,240,90,166,306,60,112,240,70,130,262,50,94,218,Rock,/content/Pokemon Images DB/Pokemon Images DB/Carkol/Carkol.png
Carnivine,['Grass'],1.4,27.0,['Levitate'],74,258,352,100,184,328,72,134,267,90,166,306,72,134,267,46,87,210,Grass,/content/Pokemon Images DB/Pokemon Images DB/Carnivine/Carnivine.png
Carracosta,"['Water', 'Rock']",1.2,81.0,"['Solid Rock', 'Sturdy, Swift Swim (hidden ability)']",74,258,352,108,198,346,133,243,401,83,153,291,65,121,251,32,62,179,Water,/content/Pokemon Images DB/Pokemon Images DB/Carracosta/Carracosta.png
Carvanha,"['Water', 'Dark']",0.8,20.8,"['Rough Skin, Speed Boost (hidden ability)']",45,200,294,90,166,306,20,40,152,65,121,251,20,40,152,65,121,251,Water,/content/Pokemon Images DB/Pokemon Images DB/Carvanha/Carvanha.png
Cascoon,['Bug'],0.7,11.5,['Shed Skin'],50,210,304,35,67,185,55,103,229,25,49,163,25,49,163,15,31,141,Bug,/content/Pokemon Images DB/Pokemon Images DB/Cascoon/Cascoon.png
Castform,['Normal'],0.3,0.8,['Forecast'],70,250,344,70,130,262,70,130,262,70,130,262,70,130,262,70,130,262,Normal,/content/Pokemon Images DB/Pokemon Images DB/Castform/Castform.png
Caterpie,['Bug'],0.3,2.9,"['Shield Dust, Run Away (hidden ability)']",45,200,294,30,58,174,35,67,185,20,40,152,20,40,152,45,85,207,Bug,/content/Pokemon Images DB/Pokemon Images DB/Caterpie/Caterpie.png
Celebi,"['Psychic', 'Grass']",0.6,5.0,['Natural Cure'],100,310,404,100,184,328,100,184,328,100,184,328,100,184,328,100,184,328,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Celebi/Celebi.png
Celesteela,"['Steel', 'Flying']",9.2,999.9,['Beast Boost'],97,304,398,101,186,331,103,189,335,107,197,344,101,186,331,61,114,243,Steel,/content/Pokemon Images DB/Pokemon Images DB/Celesteela/Celesteela.png
Centiskorch,"['Fire', 'Bug']",3.0,120.0,"['Flash Fire', 'White Smoke, Flame Body (hidden ability)']",100,310,404,115,211,361,65,121,251,90,166,306,90,166,306,65,121,251,Fire,/content/Pokemon Images DB/Pokemon Images DB/Centiskorch/Centiskorch.png
Ceruledge,"['Fire', 'Ghost']",1.6,62.0,"['Flash Fire, Weak Armor (hidden ability)']",75,260,354,125,229,383,80,148,284,60,112,240,100,184,328,85,157,295,Fire,/content/Pokemon Images DB/Pokemon Images DB/Ceruledge/Ceruledge.png
Cetitan,['Ice'],4.5,700.0,"['Thick Fat', 'Slush Rush, Sheer Force (hidden ability)']",170,450,544,113,207,357,65,121,251,45,85,207,55,103,229,73,135,269,Ice,/content/Pokemon Images DB/Pokemon Images DB/Cetitan/Cetitan.png
Cetoddle,['Ice'],1.2,45.0,"['Thick Fat', 'Snow Cloak, Sheer Force (hidden ability)']",108,326,420,68,126,258,45,85,207,30,58,174,40,76,196,43,81,203,Ice,/content/Pokemon Images DB/Pokemon Images DB/Cetoddle/Cetoddle.png
Chandelure,"['Ghost', 'Fire']",1.0,34.3,"['Flash Fire', 'Flame Body, Infiltrator (hidden ability)']",60,230,324,55,103,229,90,166,306,145,265,427,90,166,306,80,148,284,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Chandelure/Chandelure.png
Chansey,['Normal'],1.1,34.6,"['Natural Cure', 'Serene Grace, Healer (hidden ability)']",250,610,704,5,13,119,5,13,119,35,67,185,105,193,339,50,94,218,Normal,/content/Pokemon Images DB/Pokemon Images DB/Chansey/Chansey.png
Charcadet,['Fire'],0.6,10.5,"['Flash Fire, Flame Body (hidden ability)']",40,190,284,50,94,218,40,76,196,50,94,218,40,76,196,35,67,185,Fire,/content/Pokemon Images DB/Pokemon Images DB/Charcadet/Charcadet.png
Charizard,"['Fire', 'Flying']",1.7,90.5,"['Blaze, Solar Power (hidden ability)']",78,266,360,84,155,293,78,144,280,109,200,348,85,157,295,100,184,328,Fire,/content/Pokemon Images DB/Pokemon Images DB/Charizard/Charizard.png
Mega Charizard X,"['Fire', 'Dragon']",1.7,110.5,['Tough Claws'],78,266,360,130,238,394,111,204,353,130,238,394,85,157,295,100,184,328,Fire,/content/Pokemon Images DB/Pokemon Images DB/Mega Charizard X/Mega Charizard X.png
Mega Charizard Y,"['Fire', 'Flying']",1.7,100.5,['Drought'],78,266,360,104,191,337,78,144,280,159,290,458,115,211,361,100,184,328,Fire,/content/Pokemon Images DB/Pokemon Images DB/Mega Charizard Y/Mega Charizard Y.png
Charjabug,"['Bug', 'Electric']",0.5,10.5,['Battery'],57,224,318,82,152,289,95,175,317,55,103,229,75,139,273,36,69,188,Bug,/content/Pokemon Images DB/Pokemon Images DB/Charjabug/Charjabug.png
Charmander,['Fire'],0.6,8.5,"['Blaze, Solar Power (hidden ability)']",39,188,282,52,98,223,43,81,203,60,112,240,50,94,218,65,121,251,Fire,/content/Pokemon Images DB/Pokemon Images DB/Charmander/Charmander.png
Charmeleon,['Fire'],1.1,19.0,"['Blaze, Solar Power (hidden ability)']",58,226,320,64,119,249,58,108,236,80,148,284,65,121,251,80,148,284,Fire,/content/Pokemon Images DB/Pokemon Images DB/Charmeleon/Charmeleon.png
Chatot,"['Normal', 'Flying']",0.5,1.9,"['Keen Eye', 'Tangled Feet, Big Pecks (hidden ability)']",76,262,356,65,121,251,45,85,207,92,170,311,42,80,201,91,168,309,Normal,/content/Pokemon Images DB/Pokemon Images DB/Chatot/Chatot.png
Cherrim,['Grass'],0.5,9.3,['Flower Gift'],70,250,344,60,112,240,70,130,262,87,161,300,78,144,280,85,157,295,Grass,/content/Pokemon Images DB/Pokemon Images DB/Cherrim/Cherrim.png
Cherubi,['Grass'],0.4,3.3,['Chlorophyll'],45,200,294,35,67,185,45,85,207,62,116,245,53,99,225,35,67,185,Grass,/content/Pokemon Images DB/Pokemon Images DB/Cherubi/Cherubi.png
Chesnaught,"['Grass', 'Fighting']",1.6,90.0,"['Overgrow, Bulletproof (hidden ability)']",88,286,380,107,197,344,122,224,377,74,137,271,75,139,273,64,119,249,Grass,/content/Pokemon Images DB/Pokemon Images DB/Chesnaught/Chesnaught.png
Chespin,['Grass'],0.4,9.0,"['Overgrow, Bulletproof (hidden ability)']",56,222,316,61,114,243,65,121,251,48,90,214,45,85,207,38,72,192,Grass,/content/Pokemon Images DB/Pokemon Images DB/Chespin/Chespin.png
Chewtle,['Water'],0.3,8.5,"['Strong Jaw', 'Shell Armor, Swift Swim (hidden ability)']",50,210,304,64,119,249,50,94,218,38,72,192,38,72,192,44,83,205,Water,/content/Pokemon Images DB/Pokemon Images DB/Chewtle/Chewtle.png
Chi-Yu,"['Dark', 'Fire']",0.4,4.9,['Beads of Ruin'],55,220,314,80,148,284,80,148,284,135,247,405,120,220,372,100,184,328,Dark,/content/Pokemon Images DB/Pokemon Images DB/Chi-Yu/Chi-Yu.png
Chien-Pao,"['Dark', 'Ice']",1.9,152.2,['Sword of Ruin'],80,270,364,120,220,372,80,148,284,90,166,306,65,121,251,135,247,405,Dark,/content/Pokemon Images DB/Pokemon Images DB/Chien-Pao/Chien-Pao.png
Chikorita,['Grass'],0.9,6.4,"['Overgrow, Leaf Guard (hidden ability)']",45,200,294,49,92,216,65,121,251,49,92,216,65,121,251,45,85,207,Grass,/content/Pokemon Images DB/Pokemon Images DB/Chikorita/Chikorita.png
Chimchar,['Fire'],0.5,6.2,"['Blaze, Iron Fist (hidden ability)']",44,198,292,58,108,236,44,83,205,58,108,236,44,83,205,61,114,243,Fire,/content/Pokemon Images DB/Pokemon Images DB/Chimchar/Chimchar.png
Chimecho,['Psychic'],0.6,1.0,['Levitate'],75,260,354,50,94,218,80,148,284,95,175,317,90,166,306,65,121,251,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Chimecho/Chimecho.png
Chinchou,"['Water', 'Electric']",0.5,12.0,"['Volt Absorb', 'Illuminate, Water Absorb (hidden ability)']",75,260,354,38,72,192,38,72,192,56,105,232,56,105,232,67,125,256,Water,/content/Pokemon Images DB/Pokemon Images DB/Chinchou/Chinchou.png
Chingling,['Psychic'],0.2,0.6,['Levitate'],45,200,294,30,58,174,50,94,218,65,121,251,50,94,218,45,85,207,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Chingling/Chingling.png
Cinccino,['Normal'],0.5,7.5,"['Cute Charm', 'Technician, Skill Link (hidden ability)']",75,260,354,95,175,317,60,112,240,65,121,251,60,112,240,115,211,361,Normal,/content/Pokemon Images DB/Pokemon Images DB/Cinccino/Cinccino.png
Cinderace,['Fire'],1.4,33.0,"['Blaze, Libero (hidden ability)']",80,270,364,116,213,364,75,139,273,65,121,251,75,139,273,119,218,370,Fire,/content/Pokemon Images DB/Pokemon Images DB/Cinderace/Cinderace.png
Clamperl,['Water'],0.4,52.5,"['Shell Armor, Rattled (hidden ability)']",35,180,274,64,119,249,85,157,295,74,137,271,55,103,229,32,62,179,Water,/content/Pokemon Images DB/Pokemon Images DB/Clamperl/Clamperl.png
Clauncher,['Water'],0.5,8.3,['Mega Launcher'],50,210,304,53,99,225,62,116,245,58,108,236,63,117,247,44,83,205,Water,/content/Pokemon Images DB/Pokemon Images DB/Clauncher/Clauncher.png
Clawitzer,['Water'],1.3,35.3,['Mega Launcher'],71,252,346,73,135,269,88,162,302,120,220,372,89,164,304,59,110,238,Water,/content/Pokemon Images DB/Pokemon Images DB/Clawitzer/Clawitzer.png
Claydol,"['Ground', 'Psychic']",1.5,108.0,['Levitate'],60,230,324,70,130,262,105,193,339,70,130,262,120,220,372,75,139,273,Ground,/content/Pokemon Images DB/Pokemon Images DB/Claydol/Claydol.png
Clefable,['Fairy'],1.3,40.0,"['Cute Charm', 'Magic Guard, Unaware (hidden ability)']",95,300,394,70,130,262,73,135,269,95,175,317,90,166,306,60,112,240,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Clefable/Clefable.png
Clefairy,['Fairy'],0.6,7.5,"['Cute Charm', 'Magic Guard, Friend Guard (hidden ability)']",70,250,344,45,85,207,48,90,214,60,112,240,65,121,251,35,67,185,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Clefairy/Clefairy.png
Cleffa,['Fairy'],0.3,3.0,"['Cute Charm', 'Magic Guard, Friend Guard (hidden ability)']",50,210,304,25,49,163,28,54,170,45,85,207,55,103,229,15,31,141,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Cleffa/Cleffa.png
Clobbopus,['Fighting'],0.6,4.0,"['Limber, Technician (hidden ability)']",50,210,304,68,126,258,60,112,240,50,94,218,50,94,218,32,62,179,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Clobbopus/Clobbopus.png
Clodsire,"['Poison', 'Ground']",1.8,223.0,"['Poison Point', 'Water Absorb, Unaware (hidden ability)']",130,370,464,75,139,273,60,112,240,45,85,207,100,184,328,20,40,152,Poison,/content/Pokemon Images DB/Pokemon Images DB/Clodsire/Clodsire.png
Cloyster,"['Water', 'Ice']",1.5,132.5,"['Shell Armor', 'Skill Link, Overcoat (hidden ability)']",50,210,304,95,175,317,180,328,504,85,157,295,45,85,207,70,130,262,Water,/content/Pokemon Images DB/Pokemon Images DB/Cloyster/Cloyster.png
Coalossal,"['Rock', 'Fire']",2.8,310.5,"['Steam Engine', 'Flame Body, Flash Fire (hidden ability)']",110,330,424,80,148,284,120,220,372,80,148,284,90,166,306,30,58,174,Rock,/content/Pokemon Images DB/Pokemon Images DB/Coalossal/Coalossal.png
Cobalion,"['Steel', 'Fighting']",2.1,250.0,['Justified'],91,292,386,90,166,306,129,236,392,90,166,306,72,134,267,108,198,346,Steel,/content/Pokemon Images DB/Pokemon Images DB/Cobalion/Cobalion.png
Cofagrigus,['Ghost'],1.7,76.5,['Mummy'],58,226,320,50,94,218,145,265,427,95,175,317,105,193,339,30,58,174,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Cofagrigus/Cofagrigus.png
Combee,"['Bug', 'Flying']",0.3,5.5,"['Honey Gather, Hustle (hidden ability)']",30,170,264,30,58,174,42,80,201,30,58,174,42,80,201,70,130,262,Bug,/content/Pokemon Images DB/Pokemon Images DB/Combee/Combee.png
Combusken,"['Fire', 'Fighting']",0.9,19.5,"['Blaze, Speed Boost (hidden ability)']",60,230,324,85,157,295,60,112,240,85,157,295,60,112,240,55,103,229,Fire,/content/Pokemon Images DB/Pokemon Images DB/Combusken/Combusken.png
Comfey,['Fairy'],0.1,0.3,"['Flower Veil', 'Triage, Natural Cure (hidden ability)']",51,212,306,52,98,223,90,166,306,82,152,289,110,202,350,100,184,328,Fairy,/content/Pokemon Images DB/Pokemon Images DB/Comfey/Comfey.png
Conkeldurr,['Fighting'],1.4,87.0,"['Guts', 'Sheer Force, Iron Fist (hidden ability)']",105,320,414,140,256,416,95,175,317,55,103,229,65,121,251,45,85,207,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Conkeldurr/Conkeldurr.png
Copperajah,['Steel'],3.0,650.0,"['Sheer Force, Heavy Metal (hidden ability)']",122,354,448,130,238,394,69,128,260,80,148,284,69,128,260,30,58,174,Steel,/content/Pokemon Images DB/Pokemon Images DB/Copperajah/Copperajah.png
Corphish,['Water'],0.6,11.5,"['Hyper Cutter', 'Shell Armor, Adaptability (hidden ability)']",43,196,290,80,148,284,65,121,251,50,94,218,35,67,185,35,67,185,Water,/content/Pokemon Images DB/Pokemon Images DB/Corphish/Corphish.png
Corsola,"['Water', 'Rock']",0.6,5.0,"['Hustle', 'Natural Cure, Regenerator (hidden ability)']",65,240,334,55,103,229,95,175,317,65,121,251,95,175,317,35,67,185,Water,/content/Pokemon Images DB/Pokemon Images DB/Corsola/Corsola.png
Galarian Corsola,['Ghost'],0.6,0.5,"['Weak Armor, Cursed Body (hidden ability)']",60,230,324,55,103,229,100,184,328,65,121,251,100,184,328,30,58,174,Ghost,/content/Pokemon Images DB/Pokemon Images DB/Galarian Corsola/Galarian Corsola.png
Corviknight,"['Flying', 'Steel']",2.2,75.0,"['Pressure', 'Unnerve, Mirror Armor (hidden ability)']",98,306,400,87,161,300,105,193,339,53,99,225,85,157,295,67,125,256,Flying,/content/Pokemon Images DB/Pokemon Images DB/Corviknight/Corviknight.png
Corvisquire,['Flying'],0.8,16.0,"['Keen Eye', 'Unnerve, Big Pecks (hidden ability)']",68,246,340,67,125,256,55,103,229,43,81,203,55,103,229,77,143,278,Flying,/content/Pokemon Images DB/Pokemon Images DB/Corvisquire/Corvisquire.png
Cosmoem,['Psychic'],0.1,999.9,['Sturdy'],43,196,290,29,56,172,131,240,397,29,56,172,131,240,397,37,71,190,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Cosmoem/Cosmoem.png
Cosmog,['Psychic'],0.2,0.1,['Unaware'],43,196,290,29,56,172,31,60,177,29,56,172,31,60,177,37,71,190,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Cosmog/Cosmog.png
Cottonee,"['Grass', 'Fairy']",0.3,0.6,"['Prankster', 'Infiltrator, Chlorophyll (hidden ability)']",40,190,284,27,53,168,60,112,240,37,71,190,50,94,218,66,123,254,Grass,/content/Pokemon Images DB/Pokemon Images DB/Cottonee/Cottonee.png
Crabominable,"['Fighting', 'Ice']",1.7,180.0,"['Hyper Cutter', 'Iron Fist, Anger Point (hidden ability)']",97,304,398,132,242,399,77,143,278,62,116,245,67,125,256,43,81,203,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Crabominable/Crabominable.png
Crabrawler,['Fighting'],0.6,7.0,"['Hyper Cutter', 'Iron Fist, Anger Point (hidden ability)']",47,204,298,82,152,289,57,107,234,42,80,201,47,89,212,63,117,247,Fighting,/content/Pokemon Images DB/Pokemon Images DB/Crabrawler/Crabrawler.png
Cradily,"['Rock', 'Grass']",1.5,60.4,"['Suction Cups, Storm Drain (hidden ability)']",86,282,376,81,150,287,97,179,322,81,150,287,107,197,344,43,81,203,Rock,/content/Pokemon Images DB/Pokemon Images DB/Cradily/Cradily.png
Cramorant,"['Flying', 'Water']",0.8,18.0,['Gulp Missile'],70,250,344,85,157,295,55,103,229,85,157,295,95,175,317,85,157,295,Flying,/content/Pokemon Images DB/Pokemon Images DB/Cramorant/Cramorant.png
Cranidos,['Rock'],0.9,31.5,"['Mold Breaker, Sheer Force (hidden ability)']",67,244,338,125,229,383,40,76,196,30,58,174,30,58,174,58,108,236,Rock,/content/Pokemon Images DB/Pokemon Images DB/Cranidos/Cranidos.png
Crawdaunt,"['Water', 'Dark']",1.1,32.8,"['Hyper Cutter', 'Shell Armor, Adaptability (hidden ability)']",63,236,330,120,220,372,85,157,295,90,166,306,55,103,229,55,103,229,Water,/content/Pokemon Images DB/Pokemon Images DB/Crawdaunt/Crawdaunt.png
Cresselia,['Psychic'],1.5,85.6,['Levitate'],120,350,444,70,130,262,110,202,350,75,139,273,120,220,372,85,157,295,Psychic,/content/Pokemon Images DB/Pokemon Images DB/Cresselia/Cresselia.png
Croagunk,"['Poison', 'Fighting']",0.7,23.0,"['Anticipation', 'Dry Skin, Poison Touch (hidden ability)']",48,206,300,61,114,243,40,76,196,61,114,243,40,76,196,50,94,218,Poison,/content/Pokemon Images DB/Pokemon Images DB/Croagunk/Croagunk.png
Crobat,"['Poison', 'Flying']",1.8,75.0,"['Inner Focus, Infiltrator (hidden ability)']",85,280,374,90,166,306,80,148,284,70,130,262,80,148,284,130,238,394,Poison,/content/Pokemon Images DB/Pokemon Images DB/Crobat/Crobat.png
